0.0025375,0.0022375
0.003775,0.002275
0.0062125,0.0027125
0.01125,0.00545
0.021475,0.006575
0.03745,0.01045
0.062437,0.018437
0.082738,0.030738
0.1047,0.0495
0.11701,0.063912
0.13521,0.082613
0.14579,0.10419
0.15871,0.10881
0.17489,0.11889
0.19657,0.12427
0.22357,0.12998
0.24543,0.13992
0.26122,0.15323
0.27648,0.16328
0.29169,0.17359
0.30178,0.18568
0.30667,0.19787
0.31022,0.21143
0.31434,0.21754
0.32157,0.22018
0.3317,0.2228
0.34142,0.22503
0.35066,0.22646
0.35829,0.22909
0.36356,0.23146
0.3641,0.2331
0.36726,0.23506
0.36874,0.23654
0.36969,0.23799
0.37279,0.23949
0.37096,0.23996
0.37144,0.24104
0.37147,0.24277
0.37074,0.24344
