0.0023375,0.0042375
0.002675,0.004575
0.0057125,0.0057125
0.01145,0.00705
0.021975,0.008775
0.03995,0.01225
0.065537,0.019238
0.085438,0.030638
0.1092,0.0479
0.11931,0.063212
0.13851,0.081513
0.14969,0.10379
0.16291,0.10831
0.18109,0.11839
0.20108,0.12348
0.22268,0.12818
0.24532,0.13742
0.26022,0.15122
0.27458,0.16078
0.28839,0.17089
0.29928,0.18218
0.30607,0.19498
0.31093,0.21093
0.31684,0.21774
0.32517,0.22068
0.3376,0.2233
0.34073,0.22523
0.34826,0.22646
0.37229,0.22989
0.37186,0.23126
0.3708,0.2334
0.37466,0.23486
0.37354,0.23684
0.37659,0.23789
0.37519,0.23959
0.37606,0.24026
0.37484,0.24164
0.37417,0.24258
0.37464,0.24404
